,title,summary
32,Artificial Relaxation in NMR Experiment,"Environmental noises cause the relaxation of quantum systems and decrease the
precision of operations. Apprehending the relaxation mechanism via
environmental noises is essential for building quantum technologies.
Relaxations can be considered a process of information dissipation from the
system into an environment with infinite degrees of freedom (DoF). According to
this idea, a model of artificial relaxation has been proposed and demonstrated
in NMR experiments. Although this model successfully understood the central
idea of relaxation, we observed recursive behavior, which is non-ideal to
describe relaxation, because of few DoF of the ``artificial environment''. In
this paper, we extend the approach of the artificial environment and discuss,
theoretically and experimentally, how many DoF of the environment are necessary
for realizing ideal relaxation behavior. Our approach will help us thoroughly
understand the concept of relaxation."
33,Concept Weaver: Enabling Multi-Concept Fusion in Text-to-Image Models,"While there has been significant progress in customizing text-to-image
generation models, generating images that combine multiple personalized
concepts remains challenging. In this work, we introduce Concept Weaver, a
method for composing customized text-to-image diffusion models at inference
time. Specifically, the method breaks the process into two steps: creating a
template image aligned with the semantics of input prompts, and then
personalizing the template using a concept fusion strategy. The fusion strategy
incorporates the appearance of the target concepts into the template image
while retaining its structural details. The results indicate that our method
can generate multiple custom concepts with higher identity fidelity compared to
alternative approaches. Furthermore, the method is shown to seamlessly handle
more than two concepts and closely follow the semantic meaning of the input
prompt without blending appearances across different subjects."
34,"Forget NLI, Use a Dictionary: Zero-Shot Topic Classification for Low-Resource Languages with Application to Luxembourgish","In NLP, zero-shot classification (ZSC) is the task of assigning labels to
textual data without any labeled examples for the target classes. A common
method for ZSC is to fine-tune a language model on a Natural Language Inference
(NLI) dataset and then use it to infer the entailment between the input
document and the target labels. However, this approach faces certain
challenges, particularly for languages with limited resources. In this paper,
we propose an alternative solution that leverages dictionaries as a source of
data for ZSC. We focus on Luxembourgish, a low-resource language spoken in
Luxembourg, and construct two new topic relevance classification datasets based
on a dictionary that provides various synonyms, word translations and example
sentences. We evaluate the usability of our dataset and compare it with the
NLI-based approach on two topic classification tasks in a zero-shot manner. Our
results show that by using the dictionary-based dataset, the trained models
outperform the ones following the NLI-based approach for ZSC. While we focus on
a single low-resource language in this study, we believe that the efficacy of
our approach can also transfer to other languages where such a dictionary is
available."
35,Multi-Task Learning for Lung sound & Lung disease classification,"In recent years, advancements in deep learning techniques have considerably
enhanced the efficiency and accuracy of medical diagnostics. In this work, a
novel approach using multi-task learning (MTL) for the simultaneous
classification of lung sounds and lung diseases is proposed. Our proposed model
leverages MTL with four different deep learning models such as 2D CNN,
ResNet50, MobileNet and Densenet to extract relevant features from the lung
sound recordings. The ICBHI 2017 Respiratory Sound Database was employed in the
current study. The MTL for MobileNet model performed better than the other
models considered, with an accuracy of74\% for lung sound analysis and 91\% for
lung diseases classification. Results of the experimentation demonstrate the
efficacy of our approach in classifying both lung sounds and lung diseases
concurrently.
  In this study,using the demographic data of the patients from the database,
risk level computation for Chronic Obstructive Pulmonary Disease is also
carried out. For this computation, three machine learning algorithms namely
Logistic Regression, SVM and Random Forest classifierswere employed. Among
these ML algorithms, the Random Forest classifier had the highest accuracy of
92\%.This work helps in considerably reducing the physician's burden of not
just diagnosing the pathology but also effectively communicating to the patient
about the possible causes or outcomes."
36,Nonparametric Modern Hopfield Models,"We present a nonparametric construction for deep learning compatible modern
Hopfield models and utilize this framework to debut an efficient variant. Our
key contribution stems from interpreting the memory storage and retrieval
processes in modern Hopfield models as a nonparametric regression problem
subject to a set of query-memory pairs. Crucially, our framework not only
recovers the known results from the original dense modern Hopfield model but
also fills the void in the literature regarding efficient modern Hopfield
models, by introducing \textit{sparse-structured} modern Hopfield models with
sub-quadratic complexity. We establish that this sparse model inherits the
appealing theoretical properties of its dense analogue -- connection with
transformer attention, fixed point convergence and exponential memory capacity
-- even without knowing details of the Hopfield energy function. Additionally,
we showcase the versatility of our framework by constructing a family of modern
Hopfield models as extensions, including linear, random masked, top-$K$ and
positive random feature modern Hopfield models. Empirically, we validate the
efficacy of our framework in both synthetic and realistic settings."
37,Holon: a cybernetic interface for bio-semiotics,"This paper presents an interactive artwork, ""Holon"", a collection of 130
autonomous, cybernetic organisms that listen and make sound in collaboration
with the natural environment. The work was developed for installation on water
at a heritage-listed dock in Melbourne, Australia. Conceptual issues informing
the work are presented, along with a detailed technical overview of the
implementation. Individual holons are of three types, inspired by biological
models of animal communication: composer/generators, collector/critics and
disruptors. Collectively, Holon integrates and occupies elements of the
acoustic spectrum in collaboration with human and non-human agents."
38,KGExplainer: Towards Exploring Connected Subgraph Explanations for Knowledge Graph Completion,"Knowledge graph completion (KGC) aims to alleviate the inherent
incompleteness of knowledge graphs (KGs), which is a critical task for various
applications, such as recommendations on the web. Although knowledge graph
embedding (KGE) models have demonstrated superior predictive performance on KGC
tasks, these models infer missing links in a black-box manner that lacks
transparency and accountability, preventing researchers from developing
accountable models. Existing KGE-based explanation methods focus on exploring
key paths or isolated edges as explanations, which is information-less to
reason target prediction. Additionally, the missing ground truth leads to these
explanation methods being ineffective in quantitatively evaluating explored
explanations. To overcome these limitations, we propose KGExplainer, a
model-agnostic method that identifies connected subgraph explanations and
distills an evaluator to assess them quantitatively. KGExplainer employs a
perturbation-based greedy search algorithm to find key connected subgraphs as
explanations within the local structure of target predictions. To evaluate the
quality of the explored explanations, KGExplainer distills an evaluator from
the target KGE model. By forwarding the explanations to the evaluator, our
method can examine the fidelity of them. Extensive experiments on benchmark
datasets demonstrate that KGExplainer yields promising improvement and achieves
an optimal ratio of 83.3% in human evaluation."
39,Enhancing Breast Cancer Diagnosis in Mammography: Evaluation and Integration of Convolutional Neural Networks and Explainable AI,"The study introduces an integrated framework combining Convolutional Neural
Networks (CNNs) and Explainable Artificial Intelligence (XAI) for the enhanced
diagnosis of breast cancer using the CBIS-DDSM dataset. Utilizing a fine-tuned
ResNet50 architecture, our investigation not only provides effective
differentiation of mammographic images into benign and malignant categories but
also addresses the opaque ""black-box"" nature of deep learning models by
employing XAI methodologies, namely Grad-CAM, LIME, and SHAP, to interpret CNN
decision-making processes for healthcare professionals. Our methodology
encompasses an elaborate data preprocessing pipeline and advanced data
augmentation techniques to counteract dataset limitations, and transfer
learning using pre-trained networks, such as VGG-16, DenseNet and ResNet was
employed. A focal point of our study is the evaluation of XAI's effectiveness
in interpreting model predictions, highlighted by utilising the Hausdorff
measure to assess the alignment between AI-generated explanations and expert
annotations quantitatively. This approach plays a critical role for XAI in
promoting trustworthiness and ethical fairness in AI-assisted diagnostics. The
findings from our research illustrate the effective collaboration between CNNs
and XAI in advancing diagnostic methods for breast cancer, thereby facilitating
a more seamless integration of advanced AI technologies within clinical
settings. By enhancing the interpretability of AI-driven decisions, this work
lays the groundwork for improved collaboration between AI systems and medical
practitioners, ultimately enriching patient care. Furthermore, the implications
of our research extend well beyond the current methodologies, advocating for
subsequent inquiries into the integration of multimodal data and the refinement
of AI explanations to satisfy the needs of clinical practice."
40,Can only LLMs do Reasoning?: Potential of Small Language Models in Task Planning,"In robotics, the use of Large Language Models (LLMs) is becoming prevalent,
especially for understanding human commands. In particular, LLMs are utilized
as domain-agnostic task planners for high-level human commands. LLMs are
capable of Chain-of-Thought (CoT) reasoning, and this allows LLMs to be task
planners. However, we need to consider that modern robots still struggle to
perform complex actions, and the domains where robots can be deployed are
limited in practice. This leads us to pose a question: If small LMs can be
trained to reason in chains within a single domain, would even small LMs be
good task planners for the robots? To train smaller LMs to reason in chains, we
build `COmmand-STeps datasets' (COST) consisting of high-level commands along
with corresponding actionable low-level steps, via LLMs. We release not only
our datasets but also the prompt templates used to generate them, to allow
anyone to build datasets for their domain. We compare GPT3.5 and GPT4 with the
finetuned GPT2 for task domains, in tabletop and kitchen environments, and the
result shows that GPT2-medium is comparable to GPT3.5 for task planning in a
specific domain. Our dataset, code, and more output samples can be found in
https://github.com/Gawon-Choi/small-LMs-Task-Planning"
41,A proximal policy optimization based intelligent home solar management,"In the smart grid, the prosumers can sell unused electricity back to the
power grid, assuming the prosumers own renewable energy sources and storage
units. The maximizing of their profits under a dynamic electricity market is a
problem that requires intelligent planning. To address this, we propose a
framework based on Proximal Policy Optimization (PPO) using recurrent rewards.
By using the information about the rewards modeled effectively with PPO to
maximize our objective, we were able to get over 30\% improvement over the
other naive algorithms in accumulating total profits. This shows promise in
getting reinforcement learning algorithms to perform tasks required to plan
their actions in complex domains like financial markets. We also introduce a
novel method for embedding longs based on soliton waves that outperformed
normal embedding in our use case with random floating point data augmentation."
42,SAAS: Solving Ability Amplification Strategy for Enhanced Mathematical Reasoning in Large Language Models,"This study presents a novel learning approach designed to enhance both
mathematical reasoning and problem-solving abilities of Large Language Models
(LLMs). We focus on integrating the Chain-of-Thought (CoT) and the
Program-of-Thought (PoT) learning, hypothesizing that prioritizing the learning
of mathematical reasoning ability is helpful for the amplification of
problem-solving ability. Thus, the initial learning with CoT is essential for
solving challenging mathematical problems. To this end, we propose a sequential
learning approach, named SAAS (Solving Ability Amplification Strategy), which
strategically transitions from CoT learning to PoT learning. Our empirical
study, involving an extensive performance comparison using several benchmarks,
demonstrates that our SAAS achieves state-of-the-art (SOTA) performance. The
results underscore the effectiveness of our sequential learning approach,
marking a significant advancement in the field of mathematical reasoning in
LLMs."
43,Heterogeneous Multi-Agent Reinforcement Learning for Zero-Shot Scalable Collaboration,"The rise of multi-agent systems, especially the success of multi-agent
reinforcement learning (MARL), is reshaping our future across diverse domains
like autonomous vehicle networks. However, MARL still faces significant
challenges, particularly in achieving zero-shot scalability, which allows
trained MARL models to be directly applied to unseen tasks with varying numbers
of agents. In addition, real-world multi-agent systems usually contain agents
with different functions and strategies, while the existing scalable MARL
methods only have limited heterogeneity. To address this, we propose a novel
MARL framework named Scalable and Heterogeneous Proximal Policy Optimization
(SHPPO), integrating heterogeneity into parameter-shared PPO-based MARL
networks. we first leverage a latent network to adaptively learn strategy
patterns for each agent. Second, we introduce a heterogeneous layer for
decision-making, whose parameters are specifically generated by the learned
latent variables. Our approach is scalable as all the parameters are shared
except for the heterogeneous layer, and gains both inter-individual and
temporal heterogeneity at the same time. We implement our approach based on the
state-of-the-art backbone PPO-based algorithm as SHPPO, while our approach is
agnostic to the backbone and can be seamlessly plugged into any
parameter-shared MARL method. SHPPO exhibits superior performance over the
baselines such as MAPPO and HAPPO in classic MARL environments like Starcraft
Multi-Agent Challenge (SMAC) and Google Research Football (GRF), showcasing
enhanced zero-shot scalability and offering insights into the learned latent
representation's impact on team performance by visualization."
44,"Extract, Define, Canonicalize: An LLM-based Framework for Knowledge Graph Construction","In this work, we are interested in automated methods for knowledge graph
creation (KGC) from input text. Progress on large language models (LLMs) has
prompted a series of recent works applying them to KGC, e.g., via zero/few-shot
prompting. Despite successes on small domain-specific datasets, these models
face difficulties scaling up to text common in many real-world applications. A
principal issue is that in prior methods, the KG schema has to be included in
the LLM prompt to generate valid triplets; larger and more complex schema
easily exceed the LLMs' context window length. To address this problem, we
propose a three-phase framework named Extract-Define-Canonicalize (EDC): open
information extraction followed by schema definition and post-hoc
canonicalization. EDC is flexible in that it can be applied to settings where a
pre-defined target schema is available and when it is not; in the latter case,
it constructs a schema automatically and applies self-canonicalization. To
further improve performance, we introduce a trained component that retrieves
schema elements relevant to the input text; this improves the LLMs' extraction
performance in a retrieval-augmented generation-like manner. We demonstrate on
three KGC benchmarks that EDC is able to extract high-quality triplets without
any parameter tuning and with significantly larger schemas compared to prior
works."
45,A Block-Coordinate Descent EMO Algorithm: Theoretical and Empirical Analysis,"We consider whether conditions exist under which block-coordinate descent is
asymptotically efficient in evolutionary multi-objective optimization,
addressing an open problem. Block-coordinate descent, where an optimization
problem is decomposed into $k$ blocks of decision variables and each of the
blocks is optimized (with the others fixed) in a sequence, is a technique used
in some large-scale optimization problems such as airline scheduling, however
its use in multi-objective optimization is less studied. We propose a
block-coordinate version of GSEMO and compare its running time to the standard
GSEMO algorithm. Theoretical and empirical results on a bi-objective test
function, a variant of LOTZ, serve to demonstrate the existence of cases where
block-coordinate descent is faster. The result may yield wider insights into
this class of algorithms."
46,PARIS3D: Reasoning-based 3D Part Segmentation Using Large Multimodal Model,"Recent advancements in 3D perception systems have significantly improved
their ability to perform visual recognition tasks such as segmentation.
However, these systems still heavily rely on explicit human instruction to
identify target objects or categories, lacking the capability to actively
reason and comprehend implicit user intentions. We introduce a novel
segmentation task known as reasoning part segmentation for 3D objects, aiming
to output a segmentation mask based on complex and implicit textual queries
about specific parts of a 3D object. To facilitate evaluation and benchmarking,
we present a large 3D dataset comprising over 60k instructions paired with
corresponding ground-truth part segmentation annotations specifically curated
for reasoning-based 3D part segmentation. We propose a model that is capable of
segmenting parts of 3D objects based on implicit textual queries and generating
natural language explanations corresponding to 3D object segmentation requests.
Experiments show that our method achieves competitive performance to models
that use explicit queries, with the additional abilities to identify part
concepts, reason about them, and complement them with world knowledge. Our
source code, dataset, and trained models are available at
https://github.com/AmrinKareem/PARIS3D."
47,BiSHop: Bi-Directional Cellular Learning for Tabular Data with Generalized Sparse Modern Hopfield Model,"We introduce the \textbf{B}i-Directional \textbf{S}parse \textbf{Hop}field
Network (\textbf{BiSHop}), a novel end-to-end framework for deep tabular
learning. BiSHop handles the two major challenges of deep tabular learning:
non-rotationally invariant data structure and feature sparsity in tabular data.
Our key motivation comes from the recent established connection between
associative memory and attention mechanisms. Consequently, BiSHop uses a
dual-component approach, sequentially processing data both column-wise and
row-wise through two interconnected directional learning modules.
Computationally, these modules house layers of generalized sparse modern
Hopfield layers, a sparse extension of the modern Hopfield model with adaptable
sparsity. Methodologically, BiSHop facilitates multi-scale representation
learning, capturing both intra-feature and inter-feature interactions, with
adaptive sparsity at each scale. Empirically, through experiments on diverse
real-world datasets, we demonstrate that BiSHop surpasses current SOTA methods
with significantly less HPO runs, marking it a robust solution for deep tabular
learning."
48,Outlier-Efficient Hopfield Layers for Large Transformer-Based Models,"We introduce an Outlier-Efficient Modern Hopfield Model (termed
$\mathtt{OutEffHop}$) and use it to address the outlier-induced challenge of
quantizing gigantic transformer-based models. Our main contribution is a novel
associative memory model facilitating \textit{outlier-efficient} associative
memory retrievals. Interestingly, this memory model manifests a model-based
interpretation of an outlier-efficient attention mechanism
($\text{Softmax}_1$): it is an approximation of the memory retrieval process of
$\mathtt{OutEffHop}$. Methodologically, this allows us to debut novel
outlier-efficient Hopfield layers a powerful attention alternative with
superior post-quantization performance. Theoretically, the Outlier-Efficient
Modern Hopfield Model retains and improves the desirable properties of the
standard modern Hopfield models, including fixed point convergence and
exponential storage capacity. Empirically, we demonstrate the proposed model's
efficacy across large-scale transformer-based and Hopfield-based models
(including BERT, OPT, ViT and STanHop-Net), benchmarking against
state-of-the-art methods including $\mathtt{Clipped\_Softmax}$ and
$\mathtt{Gated\_Attention}$. Notably, $\mathtt{OutEffHop}$ achieves on average
$\sim$22+\% reductions in both average kurtosis and maximum infinity norm of
model outputs accross 4 models."
49,Uniform Memory Retrieval with Larger Capacity for Modern Hopfield Models,"We propose a two-stage memory retrieval dynamics for modern Hopfield models,
termed $\mathtt{U\text{-}Hop}$, with enhanced memory capacity. Our key
contribution is a learnable feature map $\Phi$ which transforms the Hopfield
energy function into a kernel space. This transformation ensures convergence
between the local minima of energy and the fixed points of retrieval dynamics
within the kernel space. Consequently, the kernel norm induced by $\Phi$ serves
as a novel similarity measure. It utilizes the stored memory patterns as
learning data to enhance memory capacity across all modern Hopfield models.
Specifically, we accomplish this by constructing a separation loss
$\mathcal{L}_\Phi$ that separates the local minima of kernelized energy by
separating stored memory patterns in kernel space. Methodologically,
$\mathtt{U\text{-}Hop}$ memory retrieval process consists of:
\textbf{(Stage~I.)} minimizing separation loss for a more uniformed memory
(local minimum) distribution, followed by \textbf{(Stage~II.)} standard
Hopfield energy minimization for memory retrieval. This results in a
significant reduction of possible meta-stable states in the Hopfield energy
function, thus enhancing memory capacity by preventing memory confusion.
Empirically, with real-world datasets, we demonstrate that
$\mathtt{U\text{-}Hop}$ outperforms all existing modern Hopfield models and
SOTA similarity measures, achieving substantial improvements in both
associative memory retrieval and deep learning tasks."
50,Learning Social Fairness Preferences from Non-Expert Stakeholder Opinions in Kidney Placement,"Modern kidney placement incorporates several intelligent recommendation
systems which exhibit social discrimination due to biases inherited from
training data. Although initial attempts were made in the literature to study
algorithmic fairness in kidney placement, these methods replace true outcomes
with surgeons' decisions due to the long delays involved in recording such
outcomes reliably. However, the replacement of true outcomes with surgeons'
decisions disregards expert stakeholders' biases as well as social opinions of
other stakeholders who do not possess medical expertise. This paper alleviates
the latter concern and designs a novel fairness feedback survey to evaluate an
acceptance rate predictor (ARP) that predicts a kidney's acceptance rate in a
given kidney-match pair. The survey is launched on Prolific, a crowdsourcing
platform, and public opinions are collected from 85 anonymous crowd
participants. A novel social fairness preference learning algorithm is proposed
based on minimizing social feedback regret computed using a novel logit-based
fairness feedback model. The proposed model and learning algorithm are both
validated using simulation experiments as well as Prolific data. Public
preferences towards group fairness notions in the context of kidney placement
have been estimated and discussed in detail. The specific ARP tested in the
Prolific survey has been deemed fair by the participants."
51,Language-Guided Instance-Aware Domain-Adaptive Panoptic Segmentation,"The increasing relevance of panoptic segmentation is tied to the advancements
in autonomous driving and AR/VR applications. However, the deployment of such
models has been limited due to the expensive nature of dense data annotation,
giving rise to unsupervised domain adaptation (UDA). A key challenge in
panoptic UDA is reducing the domain gap between a labeled source and an
unlabeled target domain while harmonizing the subtasks of semantic and instance
segmentation to limit catastrophic interference. While considerable progress
has been achieved, existing approaches mainly focus on the adaptation of
semantic segmentation. In this work, we focus on incorporating instance-level
adaptation via a novel instance-aware cross-domain mixing strategy IMix. IMix
significantly enhances the panoptic quality by improving instance segmentation
performance. Specifically, we propose inserting high-confidence predicted
instances from the target domain onto source images, retaining the
exhaustiveness of the resulting pseudo-labels while reducing the injected
confirmation bias. Nevertheless, such an enhancement comes at the cost of
degraded semantic performance, attributed to catastrophic forgetting. To
mitigate this issue, we regularize our semantic branch by employing CLIP-based
domain alignment (CDA), exploiting the domain-robustness of natural language
prompts. Finally, we present an end-to-end model incorporating these two
mechanisms called LIDAPS, achieving state-of-the-art results on all popular
panoptic UDA benchmarks."
52,Quantifying Uncertainty in Motion Prediction with Variational Bayesian Mixture,"Safety and robustness are crucial factors in developing trustworthy
autonomous vehicles. One essential aspect of addressing these factors is to
equip vehicles with the capability to predict future trajectories for all
moving objects in the surroundings and quantify prediction uncertainties. In
this paper, we propose the Sequential Neural Variational Agent (SeNeVA), a
generative model that describes the distribution of future trajectories for a
single moving object. Our approach can distinguish Out-of-Distribution data
while quantifying uncertainty and achieving competitive performance compared to
state-of-the-art methods on the Argoverse 2 and INTERACTION datasets.
Specifically, a 0.446 meters minimum Final Displacement Error, a 0.203 meters
minimum Average Displacement Error, and a 5.35% Miss Rate are achieved on the
INTERACTION test set. Extensive qualitative and quantitative analysis is also
provided to evaluate the proposed model. Our open-source code is available at
https://github.com/PurdueDigitalTwin/seneva."
53,Understanding Language Modeling Paradigm Adaptations in Recommender Systems: Lessons Learned and Open Challenges,"The emergence of Large Language Models (LLMs) has achieved tremendous success
in the field of Natural Language Processing owing to diverse training paradigms
that empower LLMs to effectively capture intricate linguistic patterns and
semantic representations. In particular, the recent ""pre-train, prompt and
predict"" training paradigm has attracted significant attention as an approach
for learning generalizable models with limited labeled data. In line with this
advancement, these training paradigms have recently been adapted to the
recommendation domain and are seen as a promising direction in both academia
and industry. This half-day tutorial aims to provide a thorough understanding
of extracting and transferring knowledge from pre-trained models learned
through different training paradigms to improve recommender systems from
various perspectives, such as generality, sparsity, effectiveness and
trustworthiness. In this tutorial, we first introduce the basic concepts and a
generic architecture of the language modeling paradigm for recommendation
purposes. Then, we focus on recent advancements in adapting LLM-related
training strategies and optimization objectives for different recommendation
tasks. After that, we will systematically introduce ethical issues in LLM-based
recommender systems and discuss possible approaches to assessing and mitigating
them. We will also summarize the relevant datasets, evaluation metrics, and an
empirical study on the recommendation performance of training paradigms.
Finally, we will conclude the tutorial with a discussion of open challenges and
future directions."
54,Layerwise Early Stopping for Test Time Adaptation,"Test Time Adaptation (TTA) addresses the problem of distribution shift by
enabling pretrained models to learn new features on an unseen domain at test
time. However, it poses a significant challenge to maintain a balance between
learning new features and retaining useful pretrained features. In this paper,
we propose Layerwise EArly STopping (LEAST) for TTA to address this problem.
The key idea is to stop adapting individual layers during TTA if the features
being learned do not appear beneficial for the new domain. For that purpose, we
propose using a novel gradient-based metric to measure the relevance of the
current learnt features to the new domain without the need for supervised
labels. More specifically, we propose to use this metric to determine
dynamically when to stop updating each layer during TTA. This enables a more
balanced adaptation, restricted to layers benefiting from it, and only for a
certain number of steps. Such an approach also has the added effect of limiting
the forgetting of pretrained features useful for dealing with new domains.
Through extensive experiments, we demonstrate that Layerwise Early Stopping
improves the performance of existing TTA approaches across multiple datasets,
domain shifts, model architectures, and TTA losses."
55,A Systems Theoretic Approach to Online Machine Learning,"The machine learning formulation of online learning is incomplete from a
systems theoretic perspective. Typically, machine learning research emphasizes
domains and tasks, and a problem solving worldview. It focuses on algorithm
parameters, features, and samples, and neglects the perspective offered by
considering system structure and system behavior or dynamics. Online learning
is an active field of research and has been widely explored in terms of
statistical theory and computational algorithms, however, in general, the
literature still lacks formal system theoretical frameworks for modeling online
learning systems and resolving systems-related concept drift issues.
Furthermore, while the machine learning formulation serves to classify methods
and literature, the systems theoretic formulation presented herein serves to
provide a framework for the top-down design of online learning systems,
including a novel definition of online learning and the identification of key
design parameters. The framework is formulated in terms of input-output systems
and is further divided into system structure and system behavior. Concept drift
is a critical challenge faced in online learning, and this work formally
approaches it as part of the system behavior characteristics. Healthcare
provider fraud detection using machine learning is used as a case study
throughout the paper to ground the discussion in a real-world online learning
challenge."
56,A Reinforcement Learning based Reset Policy for CDCL SAT Solvers,"Restart policy is an important technique used in modern Conflict-Driven
Clause Learning (CDCL) solvers, wherein some parts of the solver state are
erased at certain intervals during the run of the solver. In most solvers,
variable activities are preserved across restart boundaries, resulting in
solvers continuing to search parts of the assignment tree that are not far from
the one immediately prior to a restart. To enable the solver to search possibly
""distant"" parts of the assignment tree, we study the effect of resets, a
variant of restarts which not only erases the assignment trail, but also
randomizes the activity scores of the variables of the input formula after
reset, thus potentially enabling a better global exploration of the search
space.
  In this paper, we model the problem of whether to trigger reset as a
multi-armed bandit (MAB) problem, and propose two reinforcement learning (RL)
based adaptive reset policies using the Upper Confidence Bound (UCB) and
Thompson sampling algorithms. These two algorithms balance the
exploration-exploitation tradeoff by adaptively choosing arms (reset vs. no
reset) based on their estimated rewards during the solver's run. We implement
our reset policies in four baseline SOTA CDCL solvers and compare the baselines
against the reset versions on Satcoin benchmarks and SAT Competition instances.
Our results show that RL-based reset versions outperform the corresponding
baseline solvers on both Satcoin and the SAT competition instances, suggesting
that our RL policy helps to dynamically and profitably adapt the reset
frequency for any given input instance. We also introduce the concept of a
partial reset, where at least a constant number of variable activities are
retained across reset boundaries. Building on previous results, we show that
there is an exponential separation between O(1) vs. $\Omega(n)$-length partial
resets."
57,GenQREnsemble: Zero-Shot LLM Ensemble Prompting for Generative Query Reformulation,"Query Reformulation(QR) is a set of techniques used to transform a user's
original search query to a text that better aligns with the user's intent and
improves their search experience. Recently, zero-shot QR has been shown to be a
promising approach due to its ability to exploit knowledge inherent in large
language models. By taking inspiration from the success of ensemble prompting
strategies which have benefited many tasks, we investigate if they can help
improve query reformulation. In this context, we propose an ensemble based
prompting technique, GenQREnsemble which leverages paraphrases of a zero-shot
instruction to generate multiple sets of keywords ultimately improving
retrieval performance. We further introduce its post-retrieval variant,
GenQREnsembleRF to incorporate pseudo relevant feedback. On evaluations over
four IR benchmarks, we find that GenQREnsemble generates better reformulations
with relative nDCG@10 improvements up to 18% and MAP improvements upto 24% over
the previous zero-shot state-of-art. On the MSMarco Passage Ranking task,
GenQREnsembleRF shows relative gains of 5% MRR using pseudo-relevance feedback,
and 9% nDCG@10 using relevant feedback documents."
58,Fakes of Varying Shades: How Warning Affects Human Perception and Engagement Regarding LLM Hallucinations,"The widespread adoption and transformative effects of large language models
(LLMs) have sparked concerns regarding their capacity to produce inaccurate and
fictitious content, referred to as `hallucinations'. Given the potential risks
associated with hallucinations, humans should be able to identify them. This
research aims to understand the human perception of LLM hallucinations by
systematically varying the degree of hallucination (genuine, minor
hallucination, major hallucination) and examining its interaction with warning
(i.e., a warning of potential inaccuracies: absent vs. present). Participants
(N=419) from Prolific rated the perceived accuracy and engaged with content
(e.g., like, dislike, share) in a Q/A format. Results indicate that humans rank
content as truthful in the order genuine > minor hallucination > major
hallucination and user engagement behaviors mirror this pattern. More
importantly, we observed that warning improves hallucination detection without
significantly affecting the perceived truthfulness of genuine content. We
conclude by offering insights for future tools to aid human detection of
hallucinations."
59,SHROOM-INDElab at SemEval-2024 Task 6: Zero- and Few-Shot LLM-Based Classification for Hallucination Detection,"We describe the University of Amsterdam Intelligent Data Engineering Lab
team's entry for the SemEval-2024 Task 6 competition. The SHROOM-INDElab system
builds on previous work on using prompt programming and in-context learning
with large language models (LLMs) to build classifiers for hallucination
detection, and extends that work through the incorporation of context-specific
definition of task, role, and target concept, and automated generation of
examples for use in a few-shot prompting approach. The resulting system
achieved fourth-best and sixth-best performance in the model-agnostic track and
model-aware tracks for Task 6, respectively, and evaluation using the
validation sets showed that the system's classification decisions were
consistent with those of the crowd-sourced human labellers. We further found
that a zero-shot approach provided better accuracy than a few-shot approach
using automatically generated examples. Code for the system described in this
paper is available on Github."
60,OW-VISCap: Open-World Video Instance Segmentation and Captioning,"Open-world video instance segmentation is an important video understanding
task. Yet most methods either operate in a closed-world setting, require an
additional user-input, or use classic region-based proposals to identify never
before seen objects. Further, these methods only assign a one-word label to
detected objects, and don't generate rich object-centric descriptions. They
also often suffer from highly overlapping predictions. To address these issues,
we propose Open-World Video Instance Segmentation and Captioning (OW-VISCap),
an approach to jointly segment, track, and caption previously seen or unseen
objects in a video. For this, we introduce open-world object queries to
discover never before seen objects without additional user-input. We generate
rich and descriptive object-centric captions for each detected object via a
masked attention augmented LLM input. We introduce an inter-query contrastive
loss to ensure that the object queries differ from one another. Our generalized
approach matches or surpasses state-of-the-art on three tasks: open-world video
instance segmentation on the BURST dataset, dense video object captioning on
the VidSTG dataset, and closed-world video instance segmentation on the OVIS
dataset."
61,CoMat: Aligning Text-to-Image Diffusion Model with Image-to-Text Concept Matching,"Diffusion models have demonstrated great success in the field of
text-to-image generation. However, alleviating the misalignment between the
text prompts and images is still challenging. The root reason behind the
misalignment has not been extensively investigated. We observe that the
misalignment is caused by inadequate token attention activation. We further
attribute this phenomenon to the diffusion model's insufficient condition
utilization, which is caused by its training paradigm. To address the issue, we
propose CoMat, an end-to-end diffusion model fine-tuning strategy with an
image-to-text concept matching mechanism. We leverage an image captioning model
to measure image-to-text alignment and guide the diffusion model to revisit
ignored tokens. A novel attribute concentration module is also proposed to
address the attribute binding problem. Without any image or human preference
data, we use only 20K text prompts to fine-tune SDXL to obtain CoMat-SDXL.
Extensive experiments show that CoMat-SDXL significantly outperforms the
baseline model SDXL in two text-to-image alignment benchmarks and achieves
start-of-the-art performance."
